familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employstatus,salary,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,logage,employed,retired
2228,1,82,2,3,0,4,0,0,0,0,1,0,1,4.4067192,0,1
3222,4,53,2,1,1,1,0,1,3,0,1,0,1,3.9702919,1,0
3017,2,30,1,3,0,1,0,1,1,0,1,0,1,3.4011974,1,0
3730,4,75,2,1,0,4,0,1,1,0,1,0,1,4.3174882,0,1
8446,5,63,3,1,1,1,0,1,3,0,1,0,0,4.1431346,1,0
7575,4,38,2,1,1,1,0,1,3,0,1,0,1,3.6375861,1,0
6942,2,33,2,1,0,1,0,1,1,0,1,0,1,3.4965076,1,0
8059,1,30,2,1,1,1,2700,1,1,0,1,0,1,3.4011974,1,0
7497,4,28,3,1,0,1,0,0,0,0,1,0,0,3.3322046,1,0
3244,2,59,2,3,0,1,0,1,2,0,1,0,1,4.0775375,1,0
3277,1,53,4,3,0,3,0,1,1,0,1,0,0,3.9702919,0,0
3326,1,22,2,1,0,1,0,1,1,0,1,0,1,3.0910425,1,0
3031,4,31,3,3,0,3,0,1,1,0,1,0,0,3.4339871,0,0
3521,2,29,1,3,0,1,0,1,1,0,1,0,1,3.3672957,1,0
2985,4,32,2,1,0,1,0,1,2,0,1,0,1,3.4657359,1,0
789,4,47,2,1,1,1,0,1,3,0,1,0,1,3.8501475,1,0
3749,4,55,2,1,1,3,0,1,1,0,1,0,1,4.0073333,0,0
3252,4,28,2,1,0,1,650,1,1,0,1,0,1,3.3322046,1,0
9432,5,51,2,1,1,3,0,1,3,0,1,0,1,3.9318256,0,0
6852,4,33,2,1,0,1,0,1,2,0,1,0,1,3.4965076,1,0
2247,4,53,3,3,0,1,0,1,3,0,1,0,0,3.9702919,1,0
6257,4,28,2,1,1,1,0,1,2,0,1,1,1,3.3322046,1,0
7724,5,47,1,1,1,1,0,1,3,0,1,0,1,3.8501475,1,0
7341,3,62,4,1,1,4,0,1,1,0,1,0,0,4.1271343,0,1
7821,7,40,1,1,1,1,6000,1,4,1,1,0,1,3.6888795,1,0
9217,4,32,1,1,1,1,0,1,2,0,1,0,1,3.4657359,1,0
2076,2,56,3,1,1,1,0,1,2,0,1,0,0,4.0253515,1,0
2278,1,29,4,3,0,1,0,0,0,0,1,0,0,3.3672957,1,0
7195,4,47,1,1,0,1,0,1,2,0,1,0,1,3.8501475,1,0
8531,3,46,3,1,0,1,0,1,1,0,0,0,0,3.8286414,1,0
8363,6,31,1,1,0,1,0,1,2,1,1,0,1,3.4339871,1,0
7619,4,53,3,1,0,6,0,0,0,0,0,0,0,3.9702919,0,0
6933,6,33,3,2,0,1,0,1,1,0,1,0,0,3.4965076,1,0
6278,3,35,2,1,0,1,0,1,1,0,1,0,1,3.5553482,1,0
8265,7,30,1,1,0,1,0,1,3,0,1,0,1,3.4011974,1,0
3343,2,62,2,1,1,1,0,1,2,0,0,0,1,4.1271343,1,0
3243,5,39,2,1,1,1,0,1,2,0,1,0,1,3.6635616,1,0
2949,4,37,1,3,0,1,0,1,1,0,1,0,1,3.6109178,1,0
3464,5,35,2,1,0,1,0,1,2,0,1,0,1,3.5553482,1,0
3506,2,32,1,3,0,1,0,1,2,0,1,1,1,3.4657359,1,0
3685,4,30,3,6,0,1,0,1,2,0,1,0,0,3.4011974,1,0
3332,2,29,3,1,0,1,0,1,3,0,0,0,0,3.3672957,1,0
2951,8,29,3,3,0,6,0,1,1,0,1,0,0,3.3672957,0,0
3085,8,33,1,1,0,1,0,1,1,0,0,0,1,3.4965076,1,0
3260,5,37,1,1,1,1,0,1,2,0,1,0,1,3.6109178,1,0
3263,5,32,1,1,0,1,0,1,1,0,1,0,1,3.4657359,1,0
2242,3,60,2,1,1,3,0,1,2,0,1,0,1,4.0943446,0,0
2214,1,29,3,1,0,1,3600,1,1,0,1,0,0,3.3672957,1,0
2491,5,53,1,1,1,1,0,0,0,0,1,0,1,3.9702919,1,0
7209,4,48,1,3,0,1,0,1,2,0,0,0,1,3.871201,1,0
7375,2,28,2,1,1,1,0,1,3,0,1,0,1,3.3322046,1,0
6563,1,26,2,1,0,1,0,1,1,0,0,0,1,3.2580965,1,0
6693,4,22,2,3,0,1,0,1,2,0,1,0,1,3.0910425,1,0
3128,2,72,3,1,1,4,0,1,2,1,1,1,0,4.2766662,0,1
3644,1,38,2,3,0,1,0,1,1,0,1,0,1,3.6375861,1,0
3208,3,37,3,1,1,1,100000,0,0,1,1,1,0,3.6109178,1,0
2129,4,57,3,3,0,1,0,1,3,0,1,0,0,4.0430512,1,0
1818,4,34,2,1,0,1,0,1,2,0,1,0,1,3.5263605,1,0
7410,2,50,1,1,0,1,2250,1,1,0,1,0,1,3.9120231,1,0
7749,1,30,2,1,0,1,0,1,1,0,0,0,1,3.4011974,1,0
7888,5,51,1,1,1,1,0,1,2,0,1,0,1,3.9318256,1,0
910,4,44,2,1,1,1,165000,1,2,0,1,1,1,3.7841897,1,0
9581,4,57,3,1,1,1,0,1,1,0,1,0,0,4.0430512,1,0
9101,2,28,1,1,0,3,0,1,1,0,1,0,1,3.3322046,0,0
9138,5,30,2,1,1,1,30000,1,2,1,1,0,1,3.4011974,1,0
3323,2,58,2,1,1,1,1894,1,3,0,1,0,1,4.0604429,1,0
3169,3,30,2,1,0,1,0,1,1,0,1,0,1,3.4011974,1,0
3373,2,28,3,1,1,1,0,1,3,0,1,0,0,3.3322046,1,0
3556,2,35,1,1,1,1,9999999,1,1,0,1,0,1,3.5553482,1,0
2360,2,71,8,1,1,1,0,0,0,0,1,0,0,4.2626801,1,0
1823,1,40,1,2,0,3,0,1,1,0,1,0,1,3.6888795,0,0
1770,3,34,8,1,1,1,0,1,1,0,1,0,0,3.5263605,1,0
2492,5,39,1,1,1,1,0,1,2,0,1,0,1,3.6635616,1,0
2086,1,56,4,1,0,1,0,0,0,0,1,0,0,4.0253515,1,0
2235,4,64,2,1,0,4,0,1,2,0,1,0,1,4.1588831,0,1
1668,1,27,2,3,0,1,0,1,1,0,1,0,1,3.2958369,1,0
1627,2,27,3,1,0,1,0,1,2,0,1,0,0,3.2958369,1,0
3754,6,57,3,1,1,1,0,0,0,0,1,0,0,4.0430512,1,0
2926,4,31,1,1,1,1,0,1,3,0,1,0,1,3.4339871,1,0
7524,5,45,1,1,0,1,0,1,3,0,1,1,1,3.8066626,1,0
9141,10,67,1,1,1,4,0,1,3,0,1,0,1,4.2046928,0,1
9325,4,41,3,3,0,1,0,1,2,0,1,0,0,3.713572,1,0
8049,4,36,3,2,0,3,0,0,0,0,1,0,0,3.583519,0,0
7756,3,52,2,1,1,1,0,1,2,0,1,0,1,3.9512436,1,0
7944,1,59,3,1,1,5,0,1,1,0,1,0,0,4.0775375,0,0
5700,4,32,3,2,0,1,0,1,1,1,1,0,0,3.4657359,1,0
6165,4,31,2,1,1,1,0,1,2,0,1,1,1,3.4339871,1,0
2039,1,57,3,3,0,1,0,0,0,0,1,0,0,4.0430512,1,0
2361,1,44,3,3,0,1,0,1,1,0,1,0,0,3.7841897,1,0
2049,1,33,4,3,0,1,0,1,1,0,1,0,0,3.4965076,1,0
1981,3,42,4,1,0,1,0,1,2,0,1,0,0,3.7376697,1,0
1725,5,40,2,1,1,1,2600,1,2,0,1,0,1,3.6888795,1,0
2826,5,49,1,1,1,1,75000,1,3,0,1,1,1,3.8918202,1,0
3430,3,52,2,2,1,1,75000,1,3,1,1,0,1,3.9512436,1,0
1000,4,60,3,1,1,1,0,1,3,0,1,0,0,4.0943446,1,0
3494,5,58,0,1,0,6,0,1,2,0,1,0,0,4.0604429,0,0
135,1,57,5,1,0,1,0,1,1,1,0,0,0,4.0430512,1,0
3348,2,64,1,2,0,5,0,1,1,0,1,0,1,4.1588831,0,0
2875,3,34,1,2,1,1,40000,1,2,0,1,0,1,3.5263605,1,0
